qualité du sommeil;temps au lit (secondes);marches;rythme cardiaque (bpm)
87%;30757.3;5949.0;0.0
78%;28249.2;12342.0;0.0
75%;25014.1;8244.0;0.0
76%;27790.5;16065.0;0.0
78%;28520.8;249.0;0.0
92%;31287.9;7191.0;0.0
76%;26798.1;11287.0;0.0
87%;27609.6;12124.0;0.0
74%;23988.0;12199.0;0.0
77%;24028.2;10675.0;0.0
93%;31603.5;9939.0;0.0
92%;33522.8;6445.0;0.0
93%;37708.9;1280.0;0.0
79%;27140.0;6355.0;0.0
83%;28490.0;7489.0;0.0
72%;25325.8;13281.0;0.0
87%;31793.8;623.0;0.0
92%;30144.2;2959.0;0.0
88%;37709.1;2035.0;0.0
70%;23987.5;5076.0;0.0
90%;34743.1;5408.0;0.0
91%;29021.6;3247.0;0.0
84%;29770.0;9271.0;0.0
70%;28339.2;2114.0;0.0
64%;24905.6;7486.0;0.0
75%;28273.8;2384.0;0.0
84%;25917.9;11420.0;0.0
90%;28285.1;9873.0;0.0
62%;27061.5;3861.0;0.0
85%;26826.7;3537.0;0.0
71%;23936.9;4854.0;0.0
94%;27255.4;8312.0;0.0
65%;24360.6;0.0;0.0
68%;23313.2;12659.0;0.0
58%;27795.4;11525.0;0.0
77%;23244.0;10555.0;0.0
70%;27274.8;9123.0;0.0
79%;26709.7;9133.0;0.0
97%;31384.3;279.0;0.0
75%;32402.3;7778.0;0.0
63%;26825.2;8442.0;0.0
78%;28534.3;8849.0;0.0
69%;25927.1;310.0;0.0
58%;25878.2;3519.0;0.0
78%;29066.2;4128.0;0.0
72%;24736.1;8061.0;0.0
78%;27853.7;10239.0;0.0
100%;31559.5;7825.0;0.0
91%;27555.8;2790.0;0.0
62%;21736.1;22114.0;0.0
46%;26964.9;3909.0;0.0
88%;28647.2;8974.0;0.0
74%;26100.1;0.0;0.0
7%;2855.4;3559.0;0.0
91%;31996.6;6687.0;0.0
70%;22926.8;13272.0;0.0
72%;26424.4;9759.0;0.0
73%;24885.4;9040.0;0.0
75%;25124.7;9151.0;0.0
81%;32869.4;9978.0;0.0
59%;23860.0;5431.0;0.0
62%;27591.3;9048.0;0.0
63%;26151.0;5307.0;0.0
81%;29564.9;0.0;0.0
72%;24269.2;10100.0;0.0
75%;24890.9;6431.0;0.0
66%;31801.1;7037.0;0.0
83%;29050.8;4975.0;0.0
59%;23670.1;9163.0;0.0
84%;29952.4;4727.0;0.0
72%;26555.5;6164.0;0.0
85%;31232.1;1668.0;0.0
70%;29768.0;3396.0;0.0
83%;26785.2;4263.0;0.0
77%;24912.7;3126.0;0.0
75%;24412.8;4865.0;0.0
62%;20582.3;9103.0;0.0
75%;28224.8;3490.0;0.0
79%;28291.8;10591.0;0.0
76%;28314.1;10444.0;0.0
76%;26754.2;8592.0;0.0
76%;29126.1;1857.0;0.0
60%;21657.7;17274.0;0.0
91%;29563.1;13773.0;0.0
78%;28654.2;2845.0;0.0
79%;27752.4;4054.0;0.0
69%;23010.7;5375.0;0.0
74%;26063.7;7579.0;0.0
80%;27301.4;5447.0;0.0
71%;24472.7;5007.0;0.0
71%;24397.7;0.0;0.0
58%;23399.3;3969.0;0.0
70%;26369.7;9189.0;0.0
77%;28183.8;4718.0;0.0
100%;31692.6;7347.0;0.0
72%;23993.7;1544.0;0.0
87%;28705.3;4808.0;0.0
73%;22836.0;17685.0;0.0
82%;25026.1;6766.0;0.0
87%;27205.8;3094.0;0.0
69%;28605.3;7420.0;0.0
87%;26574.3;6589.0;0.0
77%;26777.7;2605.0;0.0
79%;29069.3;0.0;0.0
67%;26135.4;4908.0;0.0
78%;23098.9;3468.0;0.0
80%;25698.7;4046.0;0.0
78%;26761.7;9557.0;0.0
84%;28264.3;5869.0;0.0
75%;27148.7;5510.0;0.0
82%;24690.9;7141.0;0.0
99%;33310.2;6532.0;0.0
95%;29338.6;22030.0;0.0
77%;23393.3;2222.0;0.0
76%;23106.7;13602.0;0.0
95%;30313.5;7623.0;0.0
90%;27480.3;4390.0;0.0
59%;23153.3;7394.0;0.0
63%;24488.6;8058.0;0.0
93%;29657.1;1414.0;0.0
82%;27153.3;21825.0;0.0
76%;24998.0;10208.0;0.0
66%;20122.2;10943.0;0.0
67%;30033.2;5903.0;0.0
73%;27328.2;4477.0;0.0
65%;29087.9;2284.0;0.0
80%;27620.6;14117.0;0.0
69%;26427.1;5895.0;0.0
63%;30282.4;3275.0;0.0
62%;26366.6;31593.0;0.0
71%;27812.7;3981.0;0.0
51%;23643.8;4404.0;0.0
59%;19440.5;0.0;0.0
60%;17889.9;11959.0;0.0
85%;30675.6;3255.0;0.0
79%;28553.4;8835.0;0.0
66%;27529.4;6430.0;0.0
80%;27596.0;9420.0;0.0
85%;26654.1;8921.0;0.0
90%;29256.4;24648.0;0.0
91%;31668.5;3652.0;0.0
80%;25803.9;8859.0;0.0
77%;27497.6;100.0;0.0
69%;25789.4;1924.0;0.0
78%;25349.8;7793.0;0.0
71%;27168.5;11128.0;0.0
71%;24873.1;1281.0;0.0
84%;29119.1;11952.0;0.0
78%;27198.8;2056.0;0.0
84%;29823.8;8427.0;0.0
65%;21518.3;9528.0;0.0
71%;25169.4;23174.0;0.0
84%;29072.0;7750.0;0.0
74%;26372.5;10960.0;0.0
78%;27484.4;9855.0;0.0
74%;25999.4;7015.0;0.0
78%;27215.4;10421.0;0.0
79%;26391.3;10268.0;0.0
73%;24468.0;8630.0;0.0
75%;25227.4;16290.0;0.0
79%;26416.3;1418.0;0.0
71%;23675.4;9121.0;0.0
81%;27042.4;11460.0;0.0
87%;29030.0;6485.0;0.0
81%;27099.5;9661.0;0.0
73%;24832.5;38165.0;0.0
74%;24806.5;4974.0;0.0
75%;25055.3;13972.0;0.0
74%;25051.1;3094.0;0.0
76%;25665.1;8646.0;0.0
87%;29331.6;9275.0;0.0
62%;21023.3;1900.0;0.0
82%;28032.0;5545.0;0.0
71%;24062.6;9072.0;0.0
87%;29354.9;11771.0;0.0
85%;28418.7;5041.0;0.0
76%;25260.3;5963.0;0.0
83%;27835.0;4413.0;0.0
81%;27004.5;5872.0;0.0
79%;26339.3;2806.0;0.0
73%;24321.5;7483.0;0.0
84%;28305.9;7843.0;0.0
78%;26351.9;726.0;0.0
77%;26048.4;10694.0;0.0
79%;26619.0;5837.0;0.0
65%;21095.8;6155.0;0.0
74%;25233.5;4833.0;0.0
71%;24453.5;4414.0;0.0
79%;28472.4;7979.0;0.0
59%;18775.2;20821.0;0.0
71%;25126.1;11364.0;0.0
79%;28634.3;5730.0;0.0
74%;25827.2;3456.0;0.0
79%;28734.3;2596.0;0.0
74%;26421.6;6033.0;0.0
79%;27714.0;16816.0;0.0
69%;22516.4;14740.0;0.0
69%;23100.4;6556.0;0.0
69%;21702.9;4656.0;0.0
71%;23564.0;6444.0;0.0
79%;27529.7;10314.0;0.0
74%;26481.9;10318.0;0.0
59%;19492.0;8390.0;0.0
79%;27188.8;2580.0;0.0
74%;26588.0;4367.0;0.0
74%;26793.6;3175.0;0.0
69%;22158.7;4818.0;0.0
79%;28078.6;0.0;0.0
76%;25289.1;8653.0;0.0
68%;22591.8;10694.0;0.0
82%;27321.4;7978.0;0.0
77%;25695.1;7357.0;0.0
85%;28439.8;3938.0;0.0
85%;28154.7;5028.0;0.0
65%;21561.4;11232.0;0.0
81%;26980.8;8018.0;0.0
83%;27760.6;1411.0;0.0
86%;28650.8;3657.0;0.0
72%;24002.6;3526.0;0.0
88%;29380.9;14955.0;0.0
97%;32611.5;2877.0;0.0
77%;25739.2;3930.0;0.0
83%;27668.5;2673.0;0.0
71%;23587.5;8152.0;0.0
78%;25988.0;2299.0;0.0
80%;26698.4;1016.0;0.0
87%;29001.1;1583.0;0.0
74%;24771.6;3763.0;0.0
89%;29661.7;2547.0;0.0
82%;27364.8;2003.0;0.0
83%;27774.2;2867.0;0.0
94%;31225.7;2772.0;0.0
88%;29301.4;1973.0;0.0
92%;30732.5;852.0;0.0
81%;26940.4;939.0;0.0
77%;25612.0;2435.0;0.0
79%;26284.7;10416.0;0.0
62%;20845.1;1416.0;0.0
65%;21860.8;2096.0;0.0
74%;24813.7;759.0;0.0
90%;30193.3;1780.0;0.0
91%;30556.0;2385.0;0.0
83%;28209.0;5720.0;0.0
86%;28084.1;8642.0;0.0
83%;28730.8;4262.0;0.0
79%;27347.5;5694.0;0.0
